yago	http://yago-knowledge.org/resource/
rdf	http://www.w3.org/1999/02/22-rdf-syntax-ns#
foaf	http://xmlns.com/foaf/0.1/
dbp	http://dbpedia.org/property/
owl	http://www.w3.org/2002/07/owl#
dc	http://purl.org/dc/elements/1.1/
rdfs	http://www.w3.org/2000/01/rdf-schema#
dbo	http://dbpedia.org/ontology/
rss	http://purl.org/rss/1.0/
skos	http://www.w3.org/2004/02/skos/core#
geo	http://www.w3.org/2003/01/geo/wgs84_pos#
sc	http://purl.org/science/owl/sciencecommons/
gldp	http://www.w3.org/ns/people#
fb	http://rdf.freebase.com/ns/
geonames	http://www.geonames.org/ontology#
sioc	http://rdfs.org/sioc/ns#
gr	http://purl.org/goodrelations/v1#
xsd	http://www.w3.org/2001/XMLSchema#
akt	http://www.aktors.org/ontology/portal#
dbpedia	http://dbpedia.org/resource/
dcterms	http://purl.org/dc/terms/
cyc	http://sw.opencyc.org/concept/
dct	http://purl.org/dc/terms/
dbpprop	http://dbpedia.org/property/
bibo	http://purl.org/ontology/bibo/
swrc	http://swrc.ontoware.org/ontology#
void	http://rdfs.org/ns/void#
commerce	http://search.yahoo.com/searchmonkey/commerce/
org	http://www.w3.org/ns/org#
content	http://purl.org/rss/1.0/modules/content/
doap	http://usefulinc.com/ns/doap#
vcard	http://www.w3.org/2006/vcard/ns#
xhtml	http://www.w3.org/1999/xhtml#
admin	http://webns.net/mvcb/
dc11	http://purl.org/dc/elements/1.1/
qb	http://purl.org/linked-data/cube#
gen	http://www.w3.org/2006/gen/ont#
aiiso	http://purl.org/vocab/aiiso/schema#
bill	http://www.rdfabout.com/rdf/schema/usbill/
wot	http://xmlns.com/wot/0.1/
d2rq	http://www.wiwiss.fu-berlin.de/suhl/bizer/D2RQ/0.1#
nie	http://www.semanticdesktop.org/ontologies/2007/01/19/nie#
rel	http://purl.org/vocab/relationship/
http	http://www.w3.org/2006/http#
cc	http://creativecommons.org/ns#
dcmit	http://purl.org/dc/dcmitype/
vann	http://purl.org/vocab/vann/
test2	http://this.invalid/test2#
mo	http://purl.org/ontology/mo/
og	http://opengraphprotocol.org/schema/
ex	http://example.com/
factbook	http://www4.wiwiss.fu-berlin.de/factbook/ns#
bio	http://purl.org/vocab/bio/0.1/
ad	http://schemas.talis.com/2005/address/schema#
event	http://purl.org/NET/c4dm/event.owl#
book	http://purl.org/NET/book/vocab#
earl	http://www.w3.org/ns/earl#
cv	http://purl.org/captsolo/resume-rdf/0.2/cv#
air	http://dig.csail.mit.edu/TAMI/2007/amord/air#
botany	http://purl.org/NET/biol/botany#
media	http://purl.org/microformat/hmedia/
ical	http://www.w3.org/2002/12/cal/ical#
biblio	http://purl.org/net/biblio#
tag	http://www.holygoat.co.uk/owl/redwood/0.1/tags/
musim	http://purl.org/ontology/similarity/
swc	http://data.semanticweb.org/ns/swc/ontology#
dcq	http://purl.org/dc/terms/
dv	http://rdf.data-vocabulary.org/#
af	http://purl.org/ontology/af/
ctag	http://commontag.org/ns#
dir	http://schemas.talis.com/2005/dir/schema#
cld	http://purl.org/cld/terms/
reco	http://purl.org/reco#
days	http://ontologi.es/days#
log	http://www.w3.org/2000/10/swap/log#
